Name,Variation,Color 1,Color 2,Seasonal Availability,Style,Label Themes,Villager Equippable,Internal ID,Unique Entry ID
aerobics leggings,Red & pink,Pink,Red,All Year,Active,sporty,No,5197,Smui8G3P6D8WgqK9G
aerobics leggings,Emerald & lime,Green,Light blue,All Year,Active,sporty,No,9794,eZKx89GvGsXcSDiMk
aerobics leggings,Purple & orange,Orange,Purple,All Year,Active,sporty,No,9795,jWvfpeefbhQpHQFoM
aerobics leggings,Light blue & salmon pink,Pink,Light blue,All Year,Active,sporty,No,9796,nYBBFZjyvYjTSN4fD
aerobics leggings,Yellow & blue,Blue,Yellow,All Year,Active,sporty,No,9797,gYqiyt5aP9KjqNnXQ
Aran-knit socks,Beige,Beige,Beige,Winter,Simple,everyday; comfy,No,4742,stTCJiLMdhmZ2ztyw
Aran-knit socks,White,White,White,Winter,Simple,everyday; comfy,No,9058,XX9wX5KzyENyLGa5e
Aran-knit socks,Red,Red,Red,Winter,Simple,everyday; comfy,No,9059,7xkmotJQfLFN6Rohx
Aran-knit socks,Green,Green,Green,Winter,Simple,everyday; comfy,No,9060,NH6u8astq42zMebAa
Aran-knit socks,Blue,Blue,Blue,Winter,Simple,everyday; comfy,No,9061,Gardfqrryv6SLZSQB
Aran-knit socks,Black,Black,Black,Winter,Simple,everyday; comfy,No,9062,pLZq39rKg8rn454r4
argyle crew socks,Blue,Blue,Light blue,All Year,Elegant,everyday; formal; work,No,5806,QyJBC6G3E7dzXidaW
argyle crew socks,Red,Red,White,All Year,Elegant,everyday; formal; work,No,9921,9MeYsgc2wAGCmj4mC
argyle crew socks,Green,Green,Yellow,All Year,Elegant,everyday; formal; work,No,9922,dm4YEXfYftcwG3NB8
argyle crew socks,Beige,Beige,Brown,All Year,Elegant,everyday; formal; work,No,9923,KrrN2AHTcePZaMyMo
argyle crew socks,Gray,Gray,Pink,All Year,Elegant,everyday; formal; work,No,9924,2LSJz8d2eCLmuyiMg
argyle crew socks,White,White,Red,All Year,Elegant,everyday; formal; work,No,9925,dT8t2ZMFSfktJkoDd
argyle crew socks,Orange,Orange,White,All Year,Elegant,everyday; formal; work,No,9926,CyRT5FdBTnic9cYrF
argyle crew socks,Pink,Pink,White,All Year,Elegant,everyday; formal; work,No,9927,9Gibgt5gRyngn6EuR
back-bow socks,Pink,Pink,Black,Spring,Cute,everyday; fairy tale; party; vacation,No,4718,SerX2gLYQTKxmFi7W
back-bow socks,Yellow,Yellow,Green,Spring,Cute,everyday; fairy tale; party; vacation,No,9053,KE3idPQwqM2kvbNFw
back-bow socks,Black,Black,White,Spring,Cute,everyday; fairy tale; party; vacation,No,9054,NbaHgge5Zf54Y6dQT
back-bow socks,White,White,Pink,Spring,Cute,everyday; fairy tale; party; vacation,No,9055,NXYXEomdp3yqkafZ7
back-bow socks,Blue,Light blue,Yellow,Spring,Cute,everyday; fairy tale; party; vacation,No,9056,ZuzCi6zDF9G9Swfci
back-bow socks,Peacock blue,Green,Pink,Spring,Cute,everyday; fairy tale; party; vacation,No,9057,ju47pefTtHj739pAr
bobby socks,White,White,White,All Year,Elegant,formal; work,No,5171,aL52HPePkC84gPQup
bobby socks,Gray,Gray,Gray,All Year,Elegant,formal; work,No,10017,a9aLEHyXSdpHqYLm8
bobby socks,Black,Black,Black,All Year,Elegant,formal; work,No,10018,iby3kB32wD5rkxYod
bobby socks,Brown,Brown,Brown,All Year,Elegant,formal; work,No,10019,ZH9uTJSirjyNrH3Qw
color-blocked socks,Purple,Purple,Colorful,All Year,Cute,everyday,No,5180,5nRBXNdkdjyAjs5RQ
color-blocked socks,Green,Green,Colorful,All Year,Cute,everyday,No,9895,gSZ3co7FeNLM2DqmZ
color-blocked socks,Brown,Brown,Colorful,All Year,Cute,everyday,No,9896,tTwmQJF35W2CdDRNL
color-blocked socks,Blue,Blue,Colorful,All Year,Cute,everyday,No,9897,EKGnqpYcYK5KDre8R
color-blocked socks,Beige,Beige,Colorful,All Year,Cute,everyday,No,9898,tkbYFgGoKnqAJZ49K
color-blocked socks,White,White,Colorful,All Year,Cute,everyday,No,9899,bxt6nkbfnX6KEKifX
color-blocked socks,Lime,Green,Colorful,All Year,Cute,everyday,No,9900,jDEgNFRCGWgFw5hNq
color-blocked socks,Pink,Pink,Colorful,All Year,Cute,everyday,No,9901,3Y9LcSKLMJbT5YJfH
compression tights,Blue,Black,Blue,All Year,Active,outdoorsy; sporty; work,No,5170,Fc8uttzc2hwQM7RKw
compression tights,Yellow,Black,Yellow,All Year,Active,outdoorsy; sporty; work,No,9790,otHYAzdH3cf86yKEo
compression tights,Pink,Black,Pink,All Year,Active,outdoorsy; sporty; work,No,9791,SsdRjyHarAqc72Kmv
compression tights,Mint,Black,Green,All Year,Active,outdoorsy; sporty; work,No,9792,j6AcTLGBGdk9xgThP
compression tights,Red,Black,Red,All Year,Active,outdoorsy; sporty; work,No,9793,qrFTn5ab3j4nHqzwd
country socks,Red ribbons,White,Red,All Year,Elegant,formal; work,No,6044,wgBZqqpZomaTLZhcz
country socks,Green ribbons,White,Green,All Year,Elegant,formal; work,No,8942,RWpifRdqLmYQL5dGf
country socks,Blue ribbons,White,Blue,All Year,Elegant,formal; work,No,8943,mDTdqvPWaESchMEGe
country socks,Black ribbons,White,Black,All Year,Elegant,formal; work,No,8944,ptJF3tBrJxAYRLT5T
crocheted socks,Beige,Beige,Beige,All Year,Elegant,everyday; comfy,No,5202,phkn7YMAHEZZFyC3L
crocheted socks,Gray,Gray,Gray,All Year,Elegant,everyday; comfy,No,8939,mopfLb9yhXEj9qXS2
crocheted socks,Purple,Pink,Pink,All Year,Elegant,everyday; comfy,No,8940,PT7ZGkfTfkvtkBmJx
crocheted socks,Blue,Light blue,Light blue,All Year,Elegant,everyday; comfy,No,8941,k8aPtaZcFrRZwZvD6
denim leggings,Blue,Blue,Blue,All Year,Simple,everyday; outdoorsy; sporty,No,4745,3FSnfcpAYm5Fjbctc
denim leggings,Indigo blue,Blue,Blue,All Year,Simple,everyday; outdoorsy; sporty,No,9782,zX9ge6E48pkgAtvJG
denim leggings,Saxon blue,Light blue,Light blue,All Year,Simple,everyday; outdoorsy; sporty,No,9783,z4ygu9Huw9NGZBeYZ
denim leggings,Light blue,Light blue,Light blue,All Year,Simple,everyday; outdoorsy; sporty,No,9784,kJjSEP42iYeHw2XTP
dotted knee-high socks,Black,Black,Black,All Year,Cute,everyday,No,12174,NvX65fPWJDEAJdBh8
dotted knee-high socks,Yellow,Yellow,Yellow,All Year,Cute,everyday,No,12179,2yn8c76aCod8W6H9t
dotted knee-high socks,Cyan,Green,Green,All Year,Cute,everyday,No,12180,Kvp83zH2Qcp6XeJro
dotted knee-high socks,Gray,Gray,Gray,All Year,Cute,everyday,No,12181,wJw3R2v2MKdSepbvE
embroidered-flower tights,Brown,Brown,Red,All Year,Cute,everyday; fairy tale; party,No,5204,qAsvxHbnuC6DDNZjG
embroidered-flower tights,Black,Black,White,All Year,Cute,everyday; fairy tale; party,No,9907,SiWtz8aTYoK75JfRz
embroidered-flower tights,Green,Green,Yellow,All Year,Cute,everyday; fairy tale; party,No,9908,jPQA8CohQNBhSwsiq
embroidered-flower tights,Beige,Beige,Red,All Year,Cute,everyday; fairy tale; party,No,9909,fwcHa7FkHcm4BZdYP
embroidered-flower tights,Blue,Blue,Orange,All Year,Cute,everyday; fairy tale; party,No,9910,fmZu6dNagF4XW6rvd
embroidered-flower tights,Purple,Purple,Pink,All Year,Cute,everyday; fairy tale; party,No,9911,iivtbk5pG2i2asvBC
everyday socks,Brown,Brown,Brown,All Year,Simple,everyday; work,No,9645,7NubAsby6JGtDjkQE
everyday socks,Black,Black,Black,All Year,Simple,everyday; work,No,10034,Pe45hBHF5EJnYr9Es
everyday socks,Navy blue,Blue,Blue,All Year,Simple,everyday; work,No,10035,MyTLF7gvqar4TjoR3
everyday socks,Gray,Gray,Gray,All Year,Simple,everyday; work,No,10036,RYHfit78bZMtfDcGL
everyday socks,Beige,Beige,Beige,All Year,Simple,everyday; work,No,10037,AjdoBNEpkupPceJ4z
everyday socks,White,White,White,All Year,Simple,everyday; work,No,10038,4s4vWXEwkLbb3efNb
everyday tights,Black,Black,Black,All Year,Simple,everyday; work,No,9581,rh6Bpp5D5QL7QXt7F
everyday tights,Light gray,Gray,Gray,All Year,Simple,everyday; work,No,9682,GG4hZNfY85kX42aEe
everyday tights,Gray,Gray,Gray,All Year,Simple,everyday; work,No,9683,HWnMuGqHxjQLh7yDJ
everyday tights,White,White,White,All Year,Simple,everyday; work,No,9684,iENLav487Pt8WgfWk
everyday tights,Navy blue,Blue,Blue,All Year,Simple,everyday; work,No,9685,Byc5JuPksWfY4wprE
everyday tights,Beige,Beige,Beige,All Year,Simple,everyday; work,No,9686,w9RMWiq6CjrmwWJtN
fishnet tights,Black,Black,Black,All Year,Elegant,party; theatrical,No,3096,3tL4DiJ9rWHthc9Pk
fishnet tights,White,White,White,All Year,Elegant,party; theatrical,No,9659,gsjb2cGwKR3nQswoP
fishnet tights,Red,Red,Red,All Year,Elegant,party; theatrical,No,9660,48n6aHZGEPnDEK9jx
flowery-dot tights,White,White,White,All Year,Elegant,fairy tale; formal; party; theatrical,No,5804,PMGBtgwgdqyfgFLGT
flowery-dot tights,Pink,Pink,White,All Year,Elegant,fairy tale; formal; party; theatrical,No,9917,iPqdJXpkmoQHFa3bk
flowery-dot tights,Blue,Light blue,White,All Year,Elegant,fairy tale; formal; party; theatrical,No,9918,LQLHZmbq5ooLpTaSc
flowery-dot tights,Yellow,Yellow,White,All Year,Elegant,fairy tale; formal; party; theatrical,No,9919,MKk8HkGiw8Dm5isEd
flowery-dot tights,Black,Black,Black,All Year,Elegant,fairy tale; formal; party; theatrical,No,9920,Can7JCiG9L8Hm9TDc
frilly knee-high socks,Black,Black,White,Spring,Cute,everyday; fairy tale; party; theatrical,No,5172,vmXP6mnS88memLCX4
frilly knee-high socks,Green,Green,White,Spring,Cute,everyday; fairy tale; party; theatrical,No,11589,3Q2vgyB7ck687Eyqg
frilly knee-high socks,Red,Red,White,Spring,Cute,everyday; fairy tale; party; theatrical,No,11590,xds2s4575YP27vR8A
frilly knee-high socks,Brown,Orange,White,Spring,Cute,everyday; fairy tale; party; theatrical,No,11591,JNi4geueh5oD227xR
frilly knee-high socks,Mint,Light blue,White,Spring,Cute,everyday; fairy tale; party; theatrical,No,11592,CWTTXCXbYiGajL8GN
frilly knee-high socks,Pink,Pink,White,Spring,Cute,everyday; fairy tale; party; theatrical,No,11593,v9tYcuwPdAT7v3wQS
frilly knee-high socks,Purple,Purple,White,Spring,Cute,everyday; fairy tale; party; theatrical,No,11594,WXa2dtqHH4yTqi72y
frilly knee-high socks,Yellow,Yellow,White,Spring,Cute,everyday; fairy tale; party; theatrical,No,11595,WdGcfiFNT7NYtgr2x
frilly socks,White,White,White,All Year,Cute,everyday; fairy tale; formal; party,No,5174,JjfAnWLyzasyYMg3v
frilly socks,Yellow,Yellow,White,All Year,Cute,everyday; fairy tale; formal; party,No,8934,riCwe2zM7QyECk3Jr
frilly socks,Pink,Pink,White,All Year,Cute,everyday; fairy tale; formal; party,No,8935,eReXG6NHXaQ7K3hBX
frilly socks,Green,Green,White,All Year,Cute,everyday; fairy tale; formal; party,No,8936,k4BtF693DbxH33AL6
frilly socks,Purple,Purple,White,All Year,Cute,everyday; fairy tale; formal; party,No,8937,RTFEAwp3SBjAFWdd8
frilly socks,Blue,Light blue,White,All Year,Cute,everyday; fairy tale; formal; party,No,8938,gQw822wnuA7Cvo7nF
funny-face socks,Pink,Pink,Light blue,Summer,Active,everyday; comfy,No,5406,foRRtKZSXYm9y3rX9
funny-face socks,Blue,Blue,Green,Summer,Active,everyday; comfy,No,9992,y8GCEKe7n9XX2TW4n
funny-face socks,Red,Red,Yellow,Summer,Active,everyday; comfy,No,9993,qSjBCKKdyA4KREoye
funny-face socks,Green,Green,Blue,Summer,Active,everyday; comfy,No,9994,hj2f2Lh4d4ZEWsi6B
funny-face socks,Black,Black,Gray,Summer,Active,everyday; comfy,No,9995,Z325j6mwSX7psKc6s
garter socks,Black,Black,Black,All Year,Cool,formal; party; theatrical,No,4747,iwKjqecWcWav7tNss
garter socks,White,White,White,All Year,Cool,formal; party; theatrical,No,9661,iDmZtgECn8KRQuAMs
garter socks,Purple,Purple,Purple,All Year,Cool,formal; party; theatrical,No,9662,RN674wx6333j9XEHA
garter socks,Red,Red,Red,All Year,Cool,formal; party; theatrical,No,9663,88SHPWGpx3C5ft2dv
geometric-print socks,Yellow,Yellow,Colorful,All Year,Active,outdoorsy,No,5444,iRLnesjDYbtq9h3KN
geometric-print socks,Peacock blue,Light blue,Colorful,All Year,Active,outdoorsy,No,9912,LREKsNHetcJzH6h8w
geometric-print socks,Purple,Purple,Colorful,All Year,Active,outdoorsy,No,9913,eLuF389npgRiWzMAS
geometric-print socks,Beige,Beige,Colorful,All Year,Active,outdoorsy,No,9914,ssdvzowHC9cjHtC7E
geometric-print socks,Pink,Pink,Colorful,All Year,Active,outdoorsy,No,9915,PuAirT3RNJoiq4EsZ
geometric-print socks,Green,Green,Colorful,All Year,Active,outdoorsy,No,9916,jiHCobNrHoCB3jBao
hand-knit socks,Green,Green,Green,All Year,Simple,outdoorsy; comfy,No,5196,z54zAKmuyqXF6pRiL
hand-knit socks,Purple,Purple,Purple,All Year,Simple,outdoorsy; comfy,No,9076,j5an4tBSddSdQKoTE
hand-knit socks,Orange,Orange,Orange,All Year,Simple,outdoorsy; comfy,No,9077,digGMqMoQXzCPZHcp
holey socks,Blue,Blue,Blue,All Year,Simple,goth; comfy,No,5178,eaux4kbxPYywzEPnk
holey socks,Navy blue,Blue,Blue,All Year,Simple,goth; comfy,No,9070,ekrFBBgdDZN9rCRyX
holey socks,White,Beige,Beige,All Year,Simple,goth; comfy,No,9071,mCipqhEgf8Co9QRig
holey tights,Black,Black,Black,All Year,Cool,everyday; goth; theatrical,No,5176,CWxgPmSn9NHnRk7n8
holey tights,Pink,Pink,Pink,All Year,Cool,everyday; goth; theatrical,No,9664,kfjtinkEFrk92xCDv
holey tights,Light blue,Light blue,Light blue,All Year,Cool,everyday; goth; theatrical,No,9665,kRb3QxmzBz664qW7k
holey tights,Red,Red,Red,All Year,Cool,everyday; goth; theatrical,No,9666,XddtgttTuvd2aGgJz
holey tights,Purple,Purple,Purple,All Year,Cool,everyday; goth; theatrical,No,9667,dwSSLoeYvH4S8Bdvf
holey tights,Green,Green,Green,All Year,Cool,everyday; goth; theatrical,No,9668,HsCb6Xa2yr6KfoP3j
holey tights,Blue,Blue,Blue,All Year,Cool,everyday; goth; theatrical,No,9669,PYaDDkoBgonoD9ZgF
holey tights,Yellow,Yellow,Yellow,All Year,Cool,everyday; goth; theatrical,No,9670,ZZ6wt2b5AyB4R3pEd
kiddie socks,Red & light blue,Red,Light blue,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,5201,5mqGef4h29DktRP5J
kiddie socks,Blue & orange,Blue,Orange,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9985,caua8mbapACdisDuE
kiddie socks,Lime & pink,Green,Pink,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9986,rKW7PLjcnQTJmxLpj
kiddie socks,Yellow & purple,Yellow,Purple,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9987,CR4KZHwxdFpshqtRN
kiddie socks,Light blue & red,Light blue,Red,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9988,LFgFyfPHF5DCtB2Mg
kiddie socks,Purple & green,Purple,Green,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9989,Q5ppLfq9eAyh5CiDd
kiddie socks,Pink & yellow,Pink,Yellow,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9990,uDAkFWgcMBdTxrpe7
kiddie socks,Black & gray,Black,Gray,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9991,JYXCDdJSMofR4Fhgn
Labelle socks,Twilight,Purple,Purple,All Year,Cool,everyday; formal; sporty; theatrical,No,9883,hyhRxPjBSZAvnxQjr
Labelle socks,Midnight,Black,Black,All Year,Cool,everyday; formal; sporty; theatrical,No,11761,ZaX5Gyb34Kwj9bzLn
Labelle socks,Passion,Red,Red,All Year,Cool,everyday; formal; sporty; theatrical,No,11762,b7JBgeuAoWuwhKc9b
Labelle socks,Ocean,Blue,Blue,All Year,Cool,everyday; formal; sporty; theatrical,No,11763,RdoRnCSw4FpEXci5s
Labelle socks,Sunset,Yellow,Yellow,All Year,Cool,everyday; formal; sporty; theatrical,No,11764,bkDdwmPfGjYDQvo3b
Labelle socks,Love,Pink,Pink,All Year,Cool,everyday; formal; sporty; theatrical,No,11765,zSHmRiEPN4emdp2Bg
Labelle tights,Twilight,Purple,Purple,All Year,Elegant,everyday; formal; party; theatrical,No,9882,dL7xeqfcNGRcayR59
Labelle tights,Midnight,Black,Black,All Year,Elegant,everyday; formal; party; theatrical,No,11756,s9SheWRC6wvujqCQp
Labelle tights,Passion,Red,Red,All Year,Elegant,everyday; formal; party; theatrical,No,11757,epohpktM92yF7bhcB
Labelle tights,Ocean,Blue,Blue,All Year,Elegant,everyday; formal; party; theatrical,No,11758,MAHpTyaE9sPCXsKpb
Labelle tights,Sunset,Orange,Orange,All Year,Elegant,everyday; formal; party; theatrical,No,11759,e5f9rJg8Qo56X6xpo
Labelle tights,Love,Pink,Pink,All Year,Elegant,everyday; formal; party; theatrical,No,11760,zrQngGimLZz9HNpck
lace socks,White,White,White,All Year,Elegant,everyday; fairy tale; formal; party,No,5173,qRGNuwPJJS3YyWe7w
lace socks,Pink,Pink,White,All Year,Elegant,everyday; fairy tale; formal; party,No,8931,HMyTxrLsMc3PkSPXN
lace socks,Green,Green,White,All Year,Elegant,everyday; fairy tale; formal; party,No,8932,zFT2DpYJPacGNEAP4
lace socks,Black,Black,White,All Year,Elegant,everyday; fairy tale; formal; party,No,8933,86Y8rtryieE8cCHcS
lace socks,Beige,Beige,White,All Year,Elegant,everyday; fairy tale; formal; party,No,10170,2wWiCEyFpcC64yLJz
layered socks,Purple,Gray,Purple,Winter,Simple,everyday; comfy,No,5195,2am8FTEZehx7t7nh7
layered socks,Blue,Gray,Blue,Winter,Simple,everyday; comfy,No,9902,pYcz36NuF4WtFs6nd
layered socks,Yellow,Gray,Yellow,Winter,Simple,everyday; comfy,No,9903,f8f8oNrhxiA3WCZwn
layered socks,Green,Gray,Green,Winter,Simple,everyday; comfy,No,9904,v5xsCzumBt8AQxD2q
layered socks,Red,Gray,Red,Winter,Simple,everyday; comfy,No,9905,dtFsbH6p5a4dPufKx
layered socks,Orange,Gray,Orange,Winter,Simple,everyday; comfy,No,9906,3wugeZu3eS3Kq5Mfz
leg warmers,Purple,Purple,Purple,Winter,Active,outdoorsy; comfy,No,5169,XfT3B4xa9sbPq9SXo
leg warmers,Black,Black,Black,Winter,Active,outdoorsy; comfy,No,9785,7SjdceMm9EBftH999
leg warmers,Gray,Gray,Gray,Winter,Active,outdoorsy; comfy,No,9786,MRYbYyEpPpwCHQC6K
leg warmers,Pink,Pink,Pink,Winter,Active,outdoorsy; comfy,No,9787,YbGujwbC62LKu4EJX
leg warmers,Light purple,Purple,Purple,Winter,Active,outdoorsy; comfy,No,9788,HsxzpQQSheGZLynvt
leg warmers,Blue,Blue,Blue,Winter,Active,outdoorsy; comfy,No,9789,pLsudAtibb4CcFrXA
mixed-tweed socks,Red,Red,Red,All Year,Simple,everyday; comfy,No,5168,owfZHfF53LSDDc9oY
mixed-tweed socks,Avocado,Green,Green,All Year,Simple,everyday; comfy,No,9063,Sm9A7YY3Cop9SL2SL
mixed-tweed socks,Light blue,Light blue,Light blue,All Year,Simple,everyday; comfy,No,9064,g8E79aFTJFqNSWkHa
mixed-tweed socks,Purple,Purple,Purple,All Year,Simple,everyday; comfy,No,9065,zYKg8nbNZ4yiK8MRo
mixed-tweed socks,Blue,Blue,Blue,All Year,Simple,everyday; comfy,No,9066,8zXuSD5mWeqWx9Ya3
mixed-tweed socks,Orange,Orange,Orange,All Year,Simple,everyday; comfy,No,9067,rKn2vigLdAKyp78pT
mixed-tweed socks,Lime,Yellow,Yellow,All Year,Simple,everyday; comfy,No,9068,pYazqm8irTwb5jLvL
