Name,Variation,Color 1,Color 2,Seasonal Availability,Style,Label Themes,Villager Equippable,Internal ID,Unique Entry ID
mixed-tweed socks,Pink,Beige,Beige,All Year,Simple,everyday; comfy,No,9069,cdQLDmrQGmcMsDCyB
neon leggings,Yellow,Yellow,Orange,All Year,Active,outdoorsy; party; theatrical,No,9586,RLSZDLNbLG83GjLLK
neon leggings,Pink,Pink,Purple,All Year,Active,outdoorsy; party; theatrical,No,9808,m3yXnPxG2S67TTXiP
neon leggings,Orange,Orange,Pink,All Year,Active,outdoorsy; party; theatrical,No,9809,nWcu7nF4Mm3GAaFuz
neon leggings,Green,Green,Light blue,All Year,Active,outdoorsy; party; theatrical,No,9810,CiRdadkZ8CZHGSLWr
neon leggings,Purple,Purple,Blue,All Year,Active,outdoorsy; party; theatrical,No,9811,tYx44vCXssquakWKM
neon tights,Yellow,Yellow,Orange,All Year,Active,party; theatrical,No,9583,ribe86zk8CSeDJcNX
neon tights,Pink,Pink,Purple,All Year,Active,party; theatrical,No,9694,W49nhK8ikKp6iSa5a
neon tights,Orange,Orange,Pink,All Year,Active,party; theatrical,No,9695,pXXmML69f4b9sRPsa
neon tights,Green,Green,Light blue,All Year,Active,party; theatrical,No,9696,eQLqwi3PDf8SvShDJ
neon tights,Purple,Purple,Blue,All Year,Active,party; theatrical,No,9697,rqxeHWvFkEJxeELii
no-show socks,Gray,Gray,Black,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,4741,23uqWuWmWfQc9SZrT
no-show socks,White,White,Red,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10003,nsnHnWq7HcCK3dSS5
no-show socks,Berry red,Red,Gray,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10004,RSdqLjfMrxzg6Nmij
no-show socks,Light blue,Light blue,White,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10005,YvFWc5QiCGCypwRRn
no-show socks,Orange,Orange,Purple,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10006,QWGErd9MjKGGs4iPK
no-show socks,Green,Green,Blue,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10007,w7siY5WWvHdgEhgHS
no-show socks,Navy blue,Blue,Yellow,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10008,8ttfsejMHiMv72kta
no-show socks,Yellow,Yellow,Light blue,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10009,58eK8s82q6PQojHbZ
Nook Inc. socks,Yellow,Yellow,Orange,All Year,Active,everyday; outdoorsy; comfy,No,5629,9aX93qfqKjkA3Ah4F
nordic socks,Navy blue,Blue,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,4748,YQkah68GuwuXS2Gnv
nordic socks,Ivory,Beige,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9889,HKdHEfY4v8cpzdGT2
nordic socks,Red,Red,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9890,yKLbboCACLCSWPHmw
nordic socks,Blue,Blue,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9891,x493oaGe4pAqW8Tue
nordic socks,Gray,Gray,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9892,MBjHJKaxWHn8hJyeQ
nordic socks,Green,Green,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9893,d9PWq3zpaRggPoN8R
nordic socks,Light blue,Light blue,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9894,QAMoumSd9Fv7CwA6m
patterned stockings,Black,Black,Black,All Year,Elegant,everyday; formal; party; theatrical,No,6046,MPuQ9PxnjGgBdR4cr
patterned stockings,White,White,White,All Year,Elegant,everyday; formal; party; theatrical,No,9674,bbZrafLMe87ifZ6yK
pom-pom socks,Pink,Pink,White,Winter,Cute,everyday; fairy tale; comfy,No,5179,xTxpqcYovDS7R4brm
pom-pom socks,Blue,Light blue,White,Winter,Cute,everyday; fairy tale; comfy,No,9072,X2Esyxf48CNDo7aS5
pom-pom socks,Green,Green,White,Winter,Cute,everyday; fairy tale; comfy,No,9073,sJ4i4vbxAsffiM4PS
pom-pom socks,Orange,Orange,White,Winter,Cute,everyday; fairy tale; comfy,No,9074,7cX6yDzovZqcytqYq
pom-pom socks,Purple,Purple,White,Winter,Cute,everyday; fairy tale; comfy,No,9075,p8pAsGdvNt3MhZJvQ
puckered socks,Mustard,Orange,Orange,All Year,Elegant,everyday,No,5198,jHhnoh4uTuxvfrRoR
puckered socks,Red,Red,Red,All Year,Elegant,everyday,No,9078,tqbtYmMFqJea5Ly4H
puckered socks,Blue,Blue,Blue,All Year,Elegant,everyday,No,9079,Qjs7aEzAyXkYiEx2j
puckered socks,Green,Green,Green,All Year,Elegant,everyday,No,9080,CBvB7JPEmJTEfBqHG
puckered socks,Purple,Purple,Purple,All Year,Elegant,everyday,No,9081,pEZh2BMo5Ht2z4Qdn
running tights,Pink,Black,Pink,All Year,Active,outdoorsy; sporty; work,No,5214,vtfGv2xygxLpzEQ6c
running tights,Yellow,Black,Yellow,All Year,Active,outdoorsy; sporty; work,No,9798,7cbeNaN77kh4PSrbn
running tights,Blue,Black,Blue,All Year,Active,outdoorsy; sporty; work,No,9799,4tutx5H5HC9TNWmFn
running tights,Green,Black,Green,All Year,Active,outdoorsy; sporty; work,No,9800,4HnvYfdvg6WwwBz9u
semi-opaque socks,Green,Green,Green,All Year,Elegant,everyday,No,9644,aDd9YECbDwxmdtYRN
semi-opaque socks,Red,Red,Red,All Year,Elegant,everyday,No,10027,9y7L6GWXoiMhXgsnf
semi-opaque socks,Blue,Blue,Blue,All Year,Elegant,everyday,No,10028,cuQ2Efgb8W3eYPQMr
semi-opaque socks,Navy blue,Purple,Purple,All Year,Elegant,everyday,No,10029,sqE8jqYCHjdpHJLD5
semi-opaque socks,Purple,Pink,Pink,All Year,Elegant,everyday,No,10030,fm5LhL9MfomtYc46n
semi-opaque socks,Camel,Yellow,Yellow,All Year,Elegant,everyday,No,10031,KLmZ9YcLY8dcH3nxQ
semi-opaque socks,Avocado,Green,Green,All Year,Elegant,everyday,No,10032,eDjvXAE53RX4Y4uRb
semi-opaque socks,Brown,Brown,Brown,All Year,Elegant,everyday,No,10033,seWE9o2TE28kpMDjm
semi-opaque tights,Brown,Orange,Orange,All Year,Elegant,everyday,No,9580,4tvCsLmAJBucyRFh4
semi-opaque tights,Yellow,Yellow,Yellow,All Year,Elegant,everyday,No,9675,wrzsLNreDDJSx9rcv
semi-opaque tights,Green,Green,Green,All Year,Elegant,everyday,No,9676,dybLNTRi3jQvD8Tdq
semi-opaque tights,Purple,Purple,Purple,All Year,Elegant,everyday,No,9677,TQaSHhuiZi36xa2Jx
semi-opaque tights,Blue,Blue,Blue,All Year,Elegant,everyday,No,9678,GtaHiEpq7oDHgytbC
semi-opaque tights,Pink,Pink,Pink,All Year,Elegant,everyday,No,9679,g4dSGvzNvZLb5woZ2
semi-opaque tights,Red,Red,Red,All Year,Elegant,everyday,No,9680,SG5Y2GgkbZ3bfrKzG
semi-opaque tights,Yellow-green,Green,Green,All Year,Elegant,everyday,No,9681,Z36xyWkyy3QY6egTc
sequin leggings,Pink,Pink,Pink,All Year,Gorgeous,party; theatrical,No,4743,pKRC3yY3R5RkyxY5x
sequin leggings,Red,Red,Red,All Year,Gorgeous,party; theatrical,No,11580,Jk6c6Hi3y4tWEsGmb
sequin leggings,Black,Black,Black,All Year,Gorgeous,party; theatrical,No,11581,LYwjTYKtgGPanWj78
sequin leggings,Yellow,Yellow,Yellow,All Year,Gorgeous,party; theatrical,No,11582,Esh9SXsXcdtLvBaNY
sequin leggings,White,White,White,All Year,Gorgeous,party; theatrical,No,11583,Mp6tw5WGZKDfC3r9Q
sequin leggings,Blue,Blue,Blue,All Year,Gorgeous,party; theatrical,No,11584,CN7jyWoBhp9yTgyC6
sequin leggings,Purple,Purple,Purple,All Year,Gorgeous,party; theatrical,No,11585,NQtAZA8S9JxtKcuvJ
sequin leggings,Green,Green,Green,All Year,Gorgeous,party; theatrical,No,11586,J53GKGigQmiYbR92q
sheer socks,Blue,Blue,Blue,Fall,Elegant,everyday; formal; party,No,5812,nMjTv2ajZrHaFzWcJ
sheer socks,Berry red,Red,Red,Fall,Elegant,everyday; formal; party,No,9928,vwEun3iFbpAxkN9YM
sheer socks,Brown,Brown,Brown,Fall,Elegant,everyday; formal; party,No,9929,Yg79sKrkCuNmim6Lh
sheer socks,Green,Green,Green,Fall,Elegant,everyday; formal; party,No,9930,j7pziPZTkZveBAuPv
sheer socks,Olive,Green,Green,Fall,Elegant,everyday; formal; party,No,9931,WNq5e8Fxyh8xiXGQx
sheer socks,Gray,Gray,Gray,Fall,Elegant,everyday; formal; party,No,9932,38sduqDDHJFtnAfuF
simple knee-high socks,Pink,Pink,Pink,All Year,Cute,everyday,No,12175,zFnCYaxy784dqgR64
simple knee-high socks,White,White,White,All Year,Cute,everyday,No,12182,XtJFPeWuftyf2oPz4
simple knee-high socks,Red,Red,Red,All Year,Cute,everyday,No,12183,RGA5qnS5QpyYE9YMo
simple knee-high socks,Blue,Light blue,Light blue,All Year,Cute,everyday,No,12184,SxXnBrRAxfq3x28sc
simple-accent socks,Navy blue,Blue,Red,All Year,Simple,everyday; formal,No,5200,pXiEbRv6KpRzR2HhF
simple-accent socks,Black,Black,White,All Year,Simple,everyday; formal,No,9082,aF6MoJRq25nmozuqJ
simple-accent socks,White,White,Black,All Year,Simple,everyday; formal,No,9083,oDiizez3yxj6HtyQr
simple-accent socks,Gray,Gray,Light blue,All Year,Simple,everyday; formal,No,9084,og9QPp6jXLwv9RfEZ
simple-accent socks,Blue,Blue,Light blue,All Year,Simple,everyday; formal,No,9085,4odTg8BmPySYZensZ
simple-accent socks,Orange,Orange,Yellow,All Year,Simple,everyday; formal,No,9086,AYXDKak7MRoKKJ24J
simple-accent socks,Red,Red,Black,All Year,Simple,everyday; formal,No,9087,4sozM46zqJys5bcFt
simple-accent socks,Pink,Pink,White,All Year,Simple,everyday; formal,No,9088,ZKHg7YC8qTrpLm76X
soccer socks,Blue,Blue,White,All Year,Active,sporty; work,No,5177,xwcWvpsyxDjwwF7jt
soccer socks,Red,Red,White,All Year,Active,sporty; work,No,9973,4QejjPC38oza2u98X
soccer socks,Green,Green,White,All Year,Active,sporty; work,No,9974,zbWuXc2n8WYG7rnNY
soccer socks,Light blue,Light blue,White,All Year,Active,sporty; work,No,9975,Mk4mRFChWdZxYsqcu
soccer socks,Black,Black,White,All Year,Active,sporty; work,No,9976,kSEJpobnFBFviu4sX
soccer socks,Orange,Orange,White,All Year,Active,sporty; work,No,9977,tsnTTCg9bosbBLXpS
soccer socks,White,White,Black,All Year,Active,sporty; work,No,9978,y72GvNAoswc8fgK6p
spider-web tights,Black,Black,Black,Fall,Cool,goth; party; theatrical,No,5203,SR5g7wLo5uvQ9TaYe
spider-web tights,White,White,White,Fall,Cool,goth; party; theatrical,No,9671,Q8ktndrSuTbgX4GWP
spider-web tights,Orange,Orange,Orange,Fall,Cool,goth; party; theatrical,No,9672,vbFcKTrEoZZ4EjYWC
spider-web tights,Purple,Purple,Purple,Fall,Cool,goth; party; theatrical,No,9673,8GMMKmgvcPFx5z4sK
stockings,Black,Black,Black,All Year,Simple,everyday; work,No,3095,2uXpSKSXayL8rWmwq
stockings,Gray,Gray,Gray,All Year,Simple,everyday; work,No,9655,LcGtPT8D5FAwyTDeH
stockings,White,White,White,All Year,Simple,everyday; work,No,9656,psXxbMdjsh7D9tHpQ
stockings,Brown,Brown,Brown,All Year,Simple,everyday; work,No,9657,GnwPZXALfY7WD3FZh
stockings,Beige,Beige,Beige,All Year,Simple,everyday; work,No,9658,BBH3W3NDeZqwSizDY
stretch leggings,Navy blue,Blue,Blue,All Year,Simple,everyday; outdoorsy; sporty,No,4744,ixedzMQJwA7Zif56r
stretch leggings,Gray,Gray,Gray,All Year,Simple,everyday; outdoorsy; sporty,No,9776,6H8evYPQyriD32JQg
stretch leggings,Dark gray,Gray,Gray,All Year,Simple,everyday; outdoorsy; sporty,No,9777,KSfWAQcAE6BqrYSRP
stretch leggings,White,White,White,All Year,Simple,everyday; outdoorsy; sporty,No,9778,ERLTKc3eKLSNLN9eZ
stretch leggings,Black,Black,Black,All Year,Simple,everyday; outdoorsy; sporty,No,9779,jW9cCN469obn7jucv
stretch leggings,Brown,Brown,Brown,All Year,Simple,everyday; outdoorsy; sporty,No,9780,SHRKAQav7w9yMQPag
stretch leggings,Green,Green,Green,All Year,Simple,everyday; outdoorsy; sporty,No,9781,9Z3ddEpG4AYFQxaEj
striped socks,Monotone,Black,White,All Year,Simple,everyday; comfy,No,5199,t9tggbKqbrE7cm7ZY
striped socks,Light blue,Light blue,White,All Year,Simple,everyday; comfy,No,6902,rbnvg68hfQu4YFrWn
striped socks,Green,Green,White,All Year,Simple,everyday; comfy,No,9996,qSyP6Jt6tHYQR3vEN
striped socks,Yellow,Yellow,White,All Year,Simple,everyday; comfy,No,9997,LxMR9hdCLhn7g2Y9D
striped socks,Orange,Orange,White,All Year,Simple,everyday; comfy,No,9998,EoL5z2pvu3WkYoENu
striped socks,Red,Red,White,All Year,Simple,everyday; comfy,No,9999,2ECQP2p6gd3d2Xiqq
striped socks,Purple,Purple,White,All Year,Simple,everyday; comfy,No,10000,XXHrJMsWnq2SuvFGz
striped socks,Blue,Blue,White,All Year,Simple,everyday; comfy,No,10001,v4aS6bX6iZQm5vbzM
striped tights,Red,Red,Black,All Year,Gorgeous,party; theatrical,No,6045,PNMohFRGwDWXGQ7r9
striped tights,Gray,Gray,Black,All Year,Gorgeous,party; theatrical,No,9937,fCNB87FXmS7cJJtkQ
striped tights,Pink,Pink,Black,All Year,Gorgeous,party; theatrical,No,9938,GjSvq9AEsbSj4L4ct
striped tights,Light blue,Light blue,Black,All Year,Gorgeous,party; theatrical,No,9939,ascM9HQW8zQ836QHZ
striped tights,Yellow,Yellow,Black,All Year,Gorgeous,party; theatrical,No,9940,bxoHZt9xhQQAWnk6e
striped tights,Purple,Purple,Black,All Year,Gorgeous,party; theatrical,No,9941,xjPhMuuZLe7g5nQux
striped tights,Green,Green,Black,All Year,Gorgeous,party; theatrical,No,9942,vx83ey5MNpgbkw7d8
striped tights,Orange,Orange,Black,All Year,Gorgeous,party; theatrical,No,9943,MFxpesNYcvptjTHHY
tabi,White,White,White,All Year,Simple,everyday; formal; party,No,4749,KfRLgXY6TYdMTrS8A
tabi,Black,Black,Black,All Year,Simple,everyday; formal; party,No,8929,iph2HdeGDjsBYj8Yx
tabi,Navy blue,Blue,Blue,All Year,Simple,everyday; formal; party,No,8930,brQgmrTHCaRLuxPrt
terry-cloth socks,Pink,Pink,White,Winter,Cute,fairy tale; comfy,No,5181,zG2c5nGSwNAtEYA24
terry-cloth socks,Purple,Purple,White,Winter,Cute,fairy tale; comfy,No,9979,kSPNXN3pQosJcuwgG
terry-cloth socks,Blue,Light blue,White,Winter,Cute,fairy tale; comfy,No,9980,hygdPjz55qgkjrdxz
terry-cloth socks,Green,Green,White,Winter,Cute,fairy tale; comfy,No,9981,J4oqoEe8hyEz9qBob
terry-cloth socks,Beige,Beige,White,Winter,Cute,fairy tale; comfy,No,9982,wtcZP59Bep5AdBvnW
terry-cloth socks,Red,Red,White,Winter,Cute,fairy tale; comfy,No,9983,bQKLrkboL3tGTmJ5i
terry-cloth socks,Gray,Gray,White,Winter,Cute,fairy tale; comfy,No,9984,oWyAYb3Tm9QD65J8v
tube socks,Blue,White,Blue,All Year,Simple,everyday; outdoorsy; sporty,No,4746,xoupDJWYgiuYScJjP
tube socks,Orange,White,Orange,All Year,Simple,everyday; outdoorsy; sporty,No,9966,uKZ6dMzWnvFWRds6j
tube socks,Green,White,Green,All Year,Simple,everyday; outdoorsy; sporty,No,9967,jSogLE7tMPqgbgYqm
tube socks,Red,White,Red,All Year,Simple,everyday; outdoorsy; sporty,No,9968,R5s3b5xWWYSfshCR2
tube socks,Navy blue,Gray,Blue,All Year,Simple,everyday; outdoorsy; sporty,No,9969,BuvT97X2dh9FY2BYf
tube socks,Berry red,Gray,Red,All Year,Simple,everyday; outdoorsy; sporty,No,9970,5KWePAFBtAZXKMZk2
tube socks,Dark green,Gray,Green,All Year,Simple,everyday; outdoorsy; sporty,No,9971,t9Q2Hk6RbHFt7ph5t
tube socks,Purple,Gray,Purple,All Year,Simple,everyday; outdoorsy; sporty,No,9972,PnoczFigxSjbCZwA2
ultra no-show socks,Blue,Blue,Blue,All Year,Simple,everyday; outdoorsy; sporty,No,5167,EMiBarZr7cxvEFmmF
ultra no-show socks,Pink,Pink,Pink,All Year,Simple,everyday; outdoorsy; sporty,No,10010,2ifRj79NaD3X4wXAR
ultra no-show socks,Brown,Brown,Brown,All Year,Simple,everyday; outdoorsy; sporty,No,10011,ddE25Lais494tdxrR
ultra no-show socks,Olive,Green,Green,All Year,Simple,everyday; outdoorsy; sporty,No,10012,rQG8qATgfDzfi392j
ultra no-show socks,Green,Green,Green,All Year,Simple,everyday; outdoorsy; sporty,No,10013,wKeAGu8o4PcjQ47EF
ultra no-show socks,Purple,Purple,Purple,All Year,Simple,everyday; outdoorsy; sporty,No,10014,2KsDq7dXnzAhT6YqC
ultra no-show socks,Black,Black,Black,All Year,Simple,everyday; outdoorsy; sporty,No,10015,oCkrAgFbomNriMJY3
ultra no-show socks,White,White,White,All Year,Simple,everyday; outdoorsy; sporty,No,10016,oMaoadYMsSq69Wwim
vivid leggings,Light blue,Light blue,Light blue,All Year,Simple,outdoorsy; party; theatrical,No,9585,DGfxSf7iWuTH9AZ8c
vivid leggings,Purple,Purple,Purple,All Year,Simple,outdoorsy; party; theatrical,No,9801,jvyWa8Rsq8xuwyRZf
vivid leggings,Red,Red,Red,All Year,Simple,outdoorsy; party; theatrical,No,9802,srfYPBLHS6M55HMho
vivid leggings,Pink,Pink,Pink,All Year,Simple,outdoorsy; party; theatrical,No,9803,hPKNndPanerKb6ZNS
vivid leggings,Blue,Blue,Blue,All Year,Simple,outdoorsy; party; theatrical,No,9804,bY3ozoCphnPNSk9n2
vivid leggings,Yellow,Yellow,Yellow,All Year,Simple,outdoorsy; party; theatrical,No,9805,4NsYzSi2uTXWPcfS9
vivid leggings,Green,Green,Green,All Year,Simple,outdoorsy; party; theatrical,No,9806,wdaxnZxvxHNHFRKWD
vivid leggings,Orange,Orange,Orange,All Year,Simple,outdoorsy; party; theatrical,No,9807,yanC6fx5Xfpr7ihup
vivid socks,Green,Green,Green,All Year,Simple,everyday; party; theatrical,No,6898,XbHAbJtk9itLL6dyw
vivid socks,Red,Red,Red,All Year,Simple,everyday; party; theatrical,No,9643,Rxro87k8H8TrwQXPd
vivid socks,Light blue,Light blue,Light blue,All Year,Simple,everyday; party; theatrical,No,10021,sFiwGiyfM7W228Rgj
vivid socks,Blue,Blue,Blue,All Year,Simple,everyday; party; theatrical,No,10022,XyvJ9o2uNuE5aD7cp
vivid socks,Purple,Purple,Purple,All Year,Simple,everyday; party; theatrical,No,10023,FnwWCqqFdcHhjk3oc
vivid socks,Pink,Pink,Pink,All Year,Simple,everyday; party; theatrical,No,10024,zyPHqnaxf97p8Eoi7
vivid socks,Orange,Orange,Orange,All Year,Simple,everyday; party; theatrical,No,10025,JEsGza6asSbSafpny
vivid socks,Yellow,Yellow,Yellow,All Year,Simple,everyday; party; theatrical,No,10026,TFPJBkLBn2W6qvHBg
vivid tights,Light blue,Light blue,Light blue,All Year,Simple,party; theatrical,No,9582,yamdxgmHzN5NEB4FX
vivid tights,Purple,Purple,Purple,All Year,Simple,party; theatrical,No,9687,BwdAj9CGve2HkyoD6
vivid tights,Red,Red,Red,All Year,Simple,party; theatrical,No,9688,8jhmSZM88ZfjBfpGq
vivid tights,Pink,Pink,Pink,All Year,Simple,party; theatrical,No,9689,sG3bNkRZwchoYdELC
vivid tights,Blue,Blue,Blue,All Year,Simple,party; theatrical,No,9690,a5TeestnouHpJzfS5
vivid tights,Yellow,Yellow,Yellow,All Year,Simple,party; theatrical,No,9691,aNew9qmcaiXhYs4TP
vivid tights,Green,Green,Green,All Year,Simple,party; theatrical,No,9692,zJDaR6fzSJnk3fP6q
vivid tights,Orange,Orange,Orange,All Year,Simple,party; theatrical,No,9693,yto8H9GL63QbRHstv
wave-print socks,Blue,Blue,Light blue,All Year,Cool,everyday,No,5813,dH74WoutZotxbpzxx
wave-print socks,Brown,Brown,Beige,All Year,Cool,everyday,No,9933,PL58yC9hm87C7NE4u
wave-print socks,Purple,Purple,Pink,All Year,Cool,everyday,No,9934,Fodq95rD9FYWdxTWD
wave-print socks,Green,Green,Green,All Year,Cool,everyday,No,9935,ivn7QK5oi2HAJjocA
wave-print socks,Gray,Black,Gray,All Year,Cool,everyday,No,9936,pbQLWsjHhC4KZ9RrK
